Domain_Age,sld,oc_8,Emails,hex_32,Domain_Name,puny_coded,Page_Rank,Alexa_Rank,3gram,distance_from_bad_words,Country,hex_8,oc_32,len,typos,Registrar,dec_8,2gram,State,1gram,obfuscate_at_sign,entropy,numeric_percentage,Registrant_Name,subdomain,char_distribution,shortened,longest_word,Name_Server_Count,dec_32,Creation_Date_Time,Organization,tld,
"1282 days, 10:44:48.156592",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"1282 days, 10:44:49.514742",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,10,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.9897352854,0,,1,"defaultdict(<class 'int'>, {'k': 1, 'p': 1, 'o': 1, 'i': 1, 't': 1, 'a': 1, 'c': 1, 'r': 1, 'e': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:29.888758",903582,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['0903582.COM', '0903582.com']",0,,-1,"['090', '903', '035', '358', '582']","{'3': 5.744318181818182, '9': 5.744318181818182, '0': 5.744318181818182, '8': 5.744318181818182, '2': 5.740530303030303, '5': 5.742424242424242}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['09', '90', '03', '35', '58', '82']",Tokyo,"['0', '9', '0', '3', '5', '8', '2']",0,2.375,53.8461538462,,0,"defaultdict(<class 'int'>, {'3': 1, '0': 2, '9': 1, '8': 1, '2': 1, '5': 1})",-1,2,4,0,2019-06-11 12:31:52,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:34.912111",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.NET', 'koitera.net']",0,,-1,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('php.net', 86), ('a8.net', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2019-06-11 12:31:48,Whois Privacy Protection Service by onamae.com,net,
"1282 days, 10:44:53.224105",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"1282 days, 10:44:54.542929",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,10,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.9897352854,0,,1,"defaultdict(<class 'int'>, {'k': 1, 'p': 1, 'o': 1, 'i': 1, 't': 1, 'a': 1, 'c': 1, 'r': 1, 'e': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:32.900261",904693,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['0904693.COM', '0904693.com']",0,,-1,"['090', '904', '046', '469', '693']","{'3': 5.744318181818182, '0': 5.744318181818182, '6': 5.744318181818182, '4': 5.744318181818182, '9': 5.744318181818182}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['09', '90', '04', '46', '69', '93']",Tokyo,"['0', '9', '0', '4', '6', '9', '3']",0,2.125,53.8461538462,,0,"defaultdict(<class 'int'>, {'3': 1, '6': 1, '9': 2, '0': 2, '4': 1})",-1,3,4,0,2019-06-11 12:31:54,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:39.886455",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.NET', 'koitera.net']",0,,-1,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('php.net', 86), ('a8.net', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2019-06-11 12:31:48,Whois Privacy Protection Service by onamae.com,net,
"1282 days, 10:44:58.159726",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"1282 days, 10:44:59.458206",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,10,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.9897352854,0,,1,"defaultdict(<class 'int'>, {'k': 1, 'p': 1, 'o': 1, 'i': 1, 't': 1, 'a': 1, 'c': 1, 'r': 1, 'e': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:36.852639",905704,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['0905704.COM', '0905704.com']",0,,-1,"['090', '905', '057', '570', '704']","{'7': 5.744318181818182, '9': 5.744318181818182, '4': 5.744318181818182, '0': 5.744318181818182, '5': 5.742424242424242}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['09', '90', '05', '57', '70', '04']",Tokyo,"['0', '9', '0', '5', '7', '0', '4']",0,2.0306390622,53.8461538462,,0,"defaultdict(<class 'int'>, {'4': 1, '7': 1, '9': 1, '0': 3, '5': 1})",-1,4,4,0,2019-06-11 12:31:55,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:44.864734",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.NET', 'koitera.net']",0,,-1,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('php.net', 86), ('a8.net', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2019-06-11 12:31:48,Whois Privacy Protection Service by onamae.com,net,
"1282 days, 10:45:03.188582",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"1282 days, 10:45:04.553160",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,10,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.9897352854,0,,1,"defaultdict(<class 'int'>, {'k': 1, 'p': 1, 'o': 1, 'i': 1, 't': 1, 'a': 1, 'c': 1, 'r': 1, 'e': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:40.904584",906815,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['0906815.COM', '0906815.com']",0,,-1,"['090', '906', '068', '681', '815']","{'6': 5.744318181818182, '9': 5.744318181818182, '0': 5.744318181818182, '8': 5.744318181818182, '5': 5.742424242424242, '1': 5.740530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['09', '90', '06', '68', '81', '15']",Tokyo,"['0', '9', '0', '6', '8', '1', '5']",0,2.375,53.8461538462,,0,"defaultdict(<class 'int'>, {'6': 1, '0': 2, '9': 1, '8': 1, '5': 1, '1': 1})",-1,5,4,0,2019-06-11 12:31:56,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:49.909554",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.NET', 'koitera.net']",0,,-1,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('php.net', 86), ('a8.net', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2019-06-11 12:31:48,Whois Privacy Protection Service by onamae.com,net,
"1282 days, 10:45:08.286426",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"1282 days, 10:45:09.598544",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,10,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.9897352854,0,,1,"defaultdict(<class 'int'>, {'k': 1, 'p': 1, 'o': 1, 'i': 1, 't': 1, 'a': 1, 'c': 1, 'r': 1, 'e': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:43.973685",907926,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['0907926.COM', '0907926.com']",0,,-1,"['090', '907', '079', '792', '926']","{'2': 5.740530303030303, '0': 5.744318181818182, '6': 5.744318181818182, '7': 5.744318181818182, '9': 5.744318181818182}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['09', '90', '07', '79', '92', '26']",Tokyo,"['0', '9', '0', '7', '9', '2', '6']",0,2.125,53.8461538462,,0,"defaultdict(<class 'int'>, {'2': 1, '7': 1, '6': 1, '9': 2, '0': 2})",-1,6,4,0,2019-06-11 12:31:58,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:54.975868",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.NET', 'koitera.net']",0,,-1,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('php.net', 86), ('a8.net', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2019-06-11 12:31:48,Whois Privacy Protection Service by onamae.com,net,
"1282 days, 10:45:13.229320",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"1282 days, 10:45:14.541115",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,10,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.9897352854,0,,1,"defaultdict(<class 'int'>, {'k': 1, 'p': 1, 'o': 1, 'i': 1, 't': 1, 'a': 1, 'c': 1, 'r': 1, 'e': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:47.888551",908037,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['0908037.COM', '0908037.com']",0,,-1,"['090', '908', '080', '803', '037']","{'3': 5.744318181818182, '9': 5.744318181818182, '0': 5.744318181818182, '7': 5.744318181818182, '8': 5.744318181818182}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['09', '90', '08', '80', '03', '37']",Tokyo,"['0', '9', '0', '8', '0', '3', '7']",0,2.0306390622,53.8461538462,,0,"defaultdict(<class 'int'>, {'3': 1, '7': 1, '9': 1, '0': 3, '8': 1})",-1,7,4,0,2019-06-11 12:31:59,Whois Privacy Protection Service by onamae.com,com,
"136 days, 2:56:59.888213",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.NET', 'koitera.net']",0,,-1,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('php.net', 86), ('a8.net', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2019-06-11 12:31:48,Whois Privacy Protection Service by onamae.com,net,
"1282 days, 10:45:18.169055",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,8,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.625,0,,0,"defaultdict(<class 'int'>, {'k': 1, 'a': 1, 'o': 1, 'e': 1, 't': 1, 'i': 1, 'r': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
"1282 days, 10:45:19.501819",koitera,0,"['abuse@gmo.jp', 'proxy@whoisprotectservice.com']",0,"['KOITERA.COM', 'koitera.com']",0,,7119972,"['koi', 'oit', 'ite', 'ter', 'era']","{'ko': 5.331439393939394, 'it': 5.178030303030303, 'era': 5.15530303030303}",JP,0,0,10,"[('qq.com', 86), ('vk.com', 86)]","GMO INTERNET, INC.",0,"['ko', 'oi', 'it', 'te', 'er', 'ra']",Tokyo,"['k', 'o', 'i', 't', 'e', 'r', 'a']",0,2.9897352854,0,,1,"defaultdict(<class 'int'>, {'k': 1, 'p': 1, 'o': 1, 'i': 1, 't': 1, 'a': 1, 'c': 1, 'r': 1, 'e': 1})",-1,era,8,0,2016-04-21 04:43:31,Whois Privacy Protection Service by onamae.com,com,
